Unnamed: 0,english sentence,korean sentence,essential pos tagging,formal korean sentence
0,The sky is blue.,하늘은 파란색이다.,"['하늘', '파란색']",하늘은 파란색입니다.
1,We live in a big house.,우리는 큰 집에 살고 있다.,"['우리', '크', '집', '살', '있']",우리는 큰 집에 살고 있습니다.
2,My brother is tall.,내 동생은 키가 크다.,"['내', '동생', '크', '가', '크']",제 동생은 키가 큽니다.
3,She has a beautiful smile.,그녀는 아름다운 미소를 가지고 있다.,"['그녀', '아름답', '미소', '가', '지', '있']",그녀는 아름다운 미소를 가지고 있습니다.
4,They play games together.,그들은 함께 게임을 한다.,"['그', '들', '함께', '게임을합니']",그들은 함께 게임을 해요.
5,The flowers are blooming.,꽃이 피고 있다.,"['꽃', '피', '있']",꽃이 피고 있습니다.
6,He likes to draw pictures.,그는 그림을 그리는 것을 좋아한다.,"['그', '그림', '그리', '것', '좋', '하']",그는 그림을 그리는 것을 좋아합니다.
7,I can swim in the pool.,나는 수영장에서 수영 할 수 있다.,"['나', '수영장', '수영', '하', '수', '있']",저는 수영장에서 수영 할 수 있습니다.
8,We eat breakfast in the morning.,우리는 아침에 아침을 먹는다.,"['우리', '아침', '아침', '먹']",우리는 아침에 아침을 먹습니다.
9,The birds are singing.,새들이 노래하고 있다.,"['새', '들', '노랗', '하', '있']",새들이 노래하고 있다.
10,She wears a pink dress.,그녀는 분홍색 드레스를 입는다.,"['그녀', '분홍색', '드레스', '입']",그녀는 분홍색 드레스를 입으세요.
11,The car is fast.,차가 빠르다.,"['차', '빠르']",차가 빠르시네요.
12,We watch movies on weekends.,우리는 주말에 영화를 본다.,"['우리', '주말', '영화', '보']",우리는 주말에 영화를 봅니다.
13,He reads a book before bedtime.,그는 취침 전에 책을 읽는다.,"['그', '취침', '전', '책', '읽']",그는 취침 전에 책을 읽어요.
14,My mom cooks delicious food.,우리 엄마는 맛있는 음식을 요리한다.,"['우리', '엄마', '맛있', '음식', '요리', '하']",우리 엄마는 맛있는 음식을 요리합니다.
15,The cat is chasing a mouse.,고양이는 쥐를 쫓고 있다.,"['고양이', '마우스', '쫓', '있']",고양이는 쥐를 쫓고 있다.
16,They go to the beach in summer.,그들은 여름에 해변에 간다.,"['그', '들', '여름', '해변에갑니']",그들은 여름에 해변에 갑니다.
17,I have a blue pen.,파란색 펜이 있다.,"['파란색', '펜', '있']",파란색 펜이 있다.
18,She dances gracefully.,그녀는 우아하게 춤을 춘다.,"['그녀', '우아', '하', '춤', '추']",그녀는 우아하게 춤을 춥니다.
19,The train is arriving at the station.,기차가 역에 도착하고 있다.,"['기차', '역', '도착', '있']",기차가 역에 도착하고 있다.
